product_id,rgb hex,ryb hex,percentage of clothes,hue_level
622,#EED4C7,#eedac7,100.0,2
623,#202020,#202020,100.0,13
624,#F0E7A6,#b0f0a6,100.0,4
625,#FCFCFC,#fcfcfc,100.0,13
626,#FCFCFC,#fcfcfc,100.0,13
627,#BFE5D8,#bfd5e5,100.0,8
628,#F7E0D0,#f7ebd0,100.0,2
629,#6B6D68,#686d6a,100.0,13
630,#000000,#000000,100.0,13
631,#5C4C59,#5c4c59,100.0,12
632,#BCBEB9,#b9bebb,100.0,13
633,#000000,#000000,100.0,13
634,#FEFEFE,#fefefe,100.0,13
635,#A5A7A2,#a2a7a4,5.6,13
636,#414C5A,#41485a,37.4,9
637,#F0E7A6,#b0f0a6,100.0,4
638,#FAFAFA,#fafafa,100.0,13
639,#A3A59E,#9ea5a0,13.0,13
640,#1F313F,#1f2a3f,100.0,9
641,#4B4C46,#464c47,100.0,5
642,#F7E0D0,#f7ebd0,100.0,2
643,#AD4141,#ad4141,100.0,1
644,#FCFCFC,#fcfcfc,100.0,13
645,#FCFCFC,#fcfcfc,100.0,13
646,#1F313F,#1f2a3f,100.0,9
647,#2E2E2C,#2c2e2c,100.0,13
648,#F8F8F6,#f6f8f6,100.0,13
649,#A5A79C,#9ca79e,7.0,13
650,#202020,#202020,100.0,13
651,#BDBEB6,#b6beb7,99.6,13
652,#FCFCFC,#fcfcfc,100.0,13
653,#D5B348,#74d548,100.0,4
654,#BEC0B6,#b6c0b8,99.6,13
655,#BEC0B6,#b6c0b8,99.6,13
656,#E9E1A2,#abe9a2,100.0,5
657,#6C6E69,#696e6b,99.6,13
658,#202020,#202020,100.0,13
659,#202020,#202020,100.0,13
660,#F8F8F6,#f6f8f6,100.0,13
661,#EBCFC1,#ebd6c1,100.0,2
662,#B9BBB6,#b6bbb8,98.0,13
663,#A1C5B7,#a1b7c5,100.0,8
664,#E46E6A,#e46e6a,100.0,1
665,#727270,#707270,8.3,13
666,#1F2025,#1f1f25,100.0,13
667,#D9C882,#97d982,100.0,4
668,#E6B8A9,#e6bca9,100.0,2
669,#8E9E84,#849e94,100.0,6
670,#505568,#505468,100.0,10
671,#FCFCFC,#fcfcfc,100.0,13
672,#000000,#000000,100.0,13
673,#F8F8F6,#f6f8f6,100.0,13
674,#EBCFC1,#ebd6c1,100.0,2
675,#C7C9C3,#c3c9c5,99.3,13
676,#2E2E2C,#2c2e2c,100.0,13
677,#F8F8F6,#f6f8f6,100.0,13
